id,date,oppo,venue,result,bat_first,first_runs,first_wkts,first_all_out,first_notes,second_runs,second_wkts,second_all_out,second_notes,overs_opp,overs_tocc,tocc_w,tocc_nb,tocc_b,tocc_lb,opp_w,opp_nb,opp_b,opp_lb
-1,1999-05-09 00:00:00,Norwood Exiles,H,W,TOCC,179,9,,"Cooper G 58, Reid 49",89,10,,Sharpe 7-18,46,34.2,8,2,0,0,0,0,0,0
-1,1999-05-15 00:00:00,Riverside,A,W,Opp,117,10,,"Mander A 2-3, Springer 2-9",119,7,,Springer 50,28.5,41,13,0,9,3,12,6,2,3
-1,1999-05-16 00:00:00,Thurlow Park RAFA,H,L,Opp,200,5,,Ives 81*,59,10,,Bailey 4-21,29.4,44,11,1,3,4,4,0,8,1
-1,1999-05-22 00:00:00,Deansbank,H,L,Opp,143,9,,"Reade 52, Morris 4-29",88,9,,,27.5,32.4,3,1,7,4,5,0,18,0
-1,1999-05-23 00:00:00,Unis 1st 6,H,W,TOCC,226,6,,Springer 98,87,10,,"Porter 3-17, Hill 36*",36,24.3,8,2,5,0,16,5,6,0
-1,1999-05-23 00:00:00,Wild Geese Exiles,A,D,Opp,193,7,,Knox 102*,140,7,,Dugdale 51,38,44,0,0,0,0,0,0,0,0
-1,1999-05-30 00:00:00,Woodgreen,A,W,TOCC,223,7,,Sharpe 81,85,10,,Reid 4-15,30,22.5,7,1,3,0,6,0,3,6
-1,1999-05-31 00:00:00,Steeple Langford,A,D,TOCC,173,8,,"Mander C 39, Clark C 37*",137,8,,"Cooper G 6-36, Emm 48",40,37,1,3,9,2,8,1,8,3
-1,1999-06-01 00:00:00,Cove,A,L,Opp,148,6,,"Lynch 89*, Mander A 3-24",88,11,,Woodhouse 21,32.2,41,3,0,3,1,9,2,9,1
-1,1999-06-06 00:00:00,Corner Pin,H,D,TOCC,171,7,,"Patel 53*, Dugdale 25",58,3,,,40,39,4,0,1,0,9,3,2,1
